Peter Balazs	2005	1
Peter Balazs	2006	1
Peter Balazs	2010	2
Peter Balazs	2011	4
Peter Balazs	2014	1
Peter Balazs	2015	1
Peter Balazs	2016	4
Peter Balazs	2017	2
Peter Balazs	2018	2
Peter Balazs	2019	1
Masato Tsujii	2012	1
Ruixiang Zhang	2018	1
Alberto Debernardi	2019	3
El Houcein El Abdalaoui	2012	1
El Houcein El Abdalaoui	2015	2
El Houcein El Abdalaoui	2016	1
Wilhelm Schlag	2003	1
Wilhelm Schlag	2005	1
Wilhelm Schlag	2006	1
Wilhelm Schlag	2007	1
Shahram Najafzadeh	2016	2
Victor D. Didenko	2016	1
Mariel Rosenblatt	2018	1
Stefano Ferri	2018	1
Miguel A. Hernández-Medina	2015	1
Miguel A. Hernández-Medina	2018	2
Miguel A. Hernández-Medina	2019	1
Vasily I. Vasyunin	2015	1
Mark H. Kim	2012	1
Ville Suomala	2012	1
Ville Suomala	2014	1
Ville Suomala	2016	1
Lidia Fernández	2015	1
Lidia Fernández	2016	1
Andreas Debrouwere	2015	1
Andreas Debrouwere	2019	2
Yu. Lyubarskii	2009	1
Xiaosheng Zhuang	2010	1
Xiaosheng Zhuang	2011	1
Xiaosheng Zhuang	2013	2
Xiaosheng Zhuang	2014	1
Xiaosheng Zhuang	2016	1
Xiaosheng Zhuang	2017	2
Xiaosheng Zhuang	2019	2
David W. Kribs	2003	1
B. T. Bilalov	2019	1
Pierre Bousquet	2013	1
Swanhild Bernstein	2012	1
Philip T. Gressman	2016	1
Philip T. Gressman	2019	1
Yurii Belov	2015	1
Yurii Belov	2017	2
Armin Schikorra	2017	1
Daniel Spector	2017	1
Daniel Spector	2018	1
Phan Thanh Nam	2007	1
Phan Thanh Nam	2008	1
Qing Guo	2006	1
Frédéric Bernicot	2007	1
Frédéric Bernicot	2008	2
Frédéric Bernicot	2009	2
Frédéric Bernicot	2013	1
Frédéric Bernicot	2014	1
Frédéric Bernicot	2015	2
Frédéric Bernicot	2017	2
Frédéric Bernicot	2018	1
T. Martínez	2005	1
Jing Zou	2005	1
J. M. Reyes	2010	1
H. J. Weber	2007	1
Edgar Chávez	2009	1
Ali Akbar Arefijamaal	2016	2
Ali Akbar Arefijamaal	2017	2
Heli Tuominen	2013	3
Heli Tuominen	2017	1
Palle E. T. Jorgensen	1998	1
Palle E. T. Jorgensen	1999	3
Palle E. T. Jorgensen	2000	4
Palle E. T. Jorgensen	2002	2
Palle E. T. Jorgensen	2003	2
Palle E. T. Jorgensen	2004	8
Palle E. T. Jorgensen	2005	8
Palle E. T. Jorgensen	2006	5
Palle E. T. Jorgensen	2007	6
Palle E. T. Jorgensen	2008	1
Palle E. T. Jorgensen	2009	4
Palle E. T. Jorgensen	2010	2
Palle E. T. Jorgensen	2011	2
Palle E. T. Jorgensen	2013	1
Palle E. T. Jorgensen	2016	2
Palle E. T. Jorgensen	2017	1
Palle E. T. Jorgensen	2018	1
Palle E. T. Jorgensen	2019	1
Alejandra Gaitan	2019	1
"Ara"", "	2017	1
Marina Iliopoulou	2017	1
D. W. Kribs	2002	1
Jeffrey C. Lagarias	2000	1
Boris Solomyak	2002	1
Boris Solomyak	2014	1
Boris Solomyak	2015	1
Boris Solomyak	2017	1
Boris Solomyak	2019	1
Mark A. Pinsky	2009	1
Chunfa Wang	2017	1
Johan Nilsson	2013	1
Michael Coons	2017	1
Ishwari Kunwar	2017	1
S. A. Ivanov	2001	1
Margit Pap	2008	1
Margit Pap	2011	1
I. Blahota	2015	3
I. Blahota	2018	1
Victor Dominguez	2013	1
Volker Mehrmann	2014	1
Jose A. Raposo	2000	1
Gerd Teschke	2014	2
Gerd Teschke	2018	1
Antonio Luis Baisón	2015	1
Alberto Criado	2013	3
Claudemir Oliveira	2018	1
Remco Duits	2018	1
Ken Dykema	2003	2
Constanze Liaw	2008	1
Constanze Liaw	2015	1
Monika Dörfler	2002	1
Monika Dörfler	2012	1
Monika Dörfler	2017	1
Albert Boggess	2007	1
Albert Boggess	2010	1
Tao Ma	2013	1
Tao Ma	2014	2
Tao Ma	2015	1
Tao Ma	2019	1
D. H. U. Marchetti	2010	1
Marin Misur	2014	1
Laurent Demaret	2012	1
"Andrea"", "	2012	1
Jihoon Lee	2009	1
Zahra Samadzadeh	2018	1
R. J. Cintra	2018	1
Gady Kozma	2004	1
Gady Kozma	2005	3
Gady Kozma	2006	2
David W. Roach	2011	1
Ron Peled	2015	1
A. Denise	2019	1
Shani Jose	2016	1
Shani Jose	2017	1
Wayne M. Lawton	2014	1
Paweł J. Szabłowski	2010	3
Paweł J. Szabłowski	2011	1
Paweł J. Szabłowski	2012	1
Paweł J. Szabłowski	2013	1
Paweł J. Szabłowski	2015	1
Paweł J. Szabłowski	2017	1
Rahul Garg	2009	1
Rahul Garg	2012	1
Rahul Garg	2014	1
Rahul Garg	2018	1
Anna Aboud	2018	1
Tomasz Luks	2011	2
Tomasz Luks	2012	1
Tomasz Luks	2015	1
Tomasz Luks	2016	1
J. L. Torrea	2005	1
Sandro Coriasco	2009	1
Sandro Coriasco	2017	1
Changkeun Oh	2016	1
Rebekah M. Palmer	2014	1
Hervé Queffélec	2009	5
Tomasz Szarek	2010	2
Tomasz Szarek	2011	2
Magali Folch-Gabayet	2018	1
S. Foucart	2006	1
G. Cleanthous	2018	1
Felix Cabello Sanchez	2005	1
Mahdi Hormozi	2015	1
Qingguo Liu	2013	2
Denny I. Hakim	2017	1
Denny I. Hakim	2018	1
Đorđe Vučković	2016	1
Hyun-Kyoung Kwon	2015	1
Andriy Bondarenko	2013	1
Andriy Bondarenko	2014	2
Richard Rochberg	2014	3
Ubertino Battisti	2014	1
