2013	['Björn G. Walther']	15
2013	['Marc Carnovale']	18
2009	['Richard S. Laugesen']	176
2016	['R. M. Trigub']	33
2014	['Christoph Aistleitner', 'Istvan Berkes', 'Kristian Seip', 'Michel Weber']	26
2013	['Marc Carnovale']	21
2012	['Parasar Mohanty', 'Saurabh Shrivastava']	17
2012	['Vladimir V. Kisil']	31
2018	['Jacek Dziubański', 'Agnieszka Hejna']	20
2011	['Yu. Kolomoitsev', 'E. Liflyand']	20
2014	['Salvador Rodríguez-López', 'Wolfgang Staubach']	19
2005	['Gady Kozma', 'Alexander Olevskii']	5
2004	['Gady Kozma', 'Alexander Olevskii']	32
2015	['Victor Katsnelson']	20
2017	['Alex Amenta', 'Emiel Lorist', 'Mark Veraar']	27
2013	['Marc Carnovale']	15
2004	['Sundaram Thangavelu', 'Yuan Xu']	16
2005	['Yuan Xu']	9
2011	['Shunchao Long']	20
2014	['Victor Kozyakin']	20
2007	['Izabella Laba', 'Malabika Pramanik']	42
2012	['Kyle Hambrook', 'Izabella Laba']	13
2019	['David Cruz-Uribe', 'Kabe Moen', 'Hanh Nguyen']	26
2014	['Marcel Rosenthal', 'Hans-Jürgen Schmeisser']	34
2016	['Marcel Rosenthal', 'Hans-Juergen Schmeisser']	29
2008	['Anvarjon Akhmedov']	7
2007	['David M. Bradley']	6
2007	['Jean-Pierre Kahane']	10
2012	['Sandra Pott', 'Maria Carmen Reguera']	12
2007	['Yuan Xu']	15
2005	['Borislav Bojanov', 'Yuan Xu']	13
2005	['Yuan Xu']	28
2006	['Yuan Xu']	12
2014	['Roald M. Trigub']	5
2005	['Palle E. T. Jorgensen']	26
2016	['Glenn Byrenheid', 'Tino Ullrich']	49
2016	['James Wright']	66
2009	['Philippe Jaming']	12
2017	['Izabella Laba', 'Alessandro Marinelli', 'Malabika Pramanik']	29
2014	['Bilal Chanane']	8
2007	['Francisco Villarroya']	15
2012	['El Houcein El Abdalaoui']	16
2003	['S. V. Konyagin']	11
2018	['Edyta Kania', 'Marcin Preisner']	21
2006	['Salvino Ciccariello', 'Antonio Cervellino']	30
2008	['Kasso A Okoudjou']	7
2015	['Shahla Molahajloo', 'Kasso A. Okoudjou', 'Götz E. Pfander']	29
2014	['Gert Almkvist', 'Jan Gustavsson']	9
2007	['Arpad Benyi', 'Ciprian Demeter', 'Andrea R. Nahmod', 'Christoph M. Thiele', 'Rodolfo H. Torres', 'Francisco Villarroya']	62
2009	['Iosif Pinelis']	13
2013	['Elijah Liflyand', 'Ulrich Stadtmueller']	7
2015	['Xianghong Chen', 'Andreas Seeger']	36
2012	['Luis Daniel López-Sánchez', 'José María Martell', 'Javier Parcet']	49
2015	['David Cruz-Uribe']	16
2017	['Paata Ivanisvili', 'Alexander Volberg']	10
2009	['Baode Li', 'Marcin Bownik', 'Dachun Yang', 'Yuan Zhou']	21
2011	['Dachun Yang', 'Sibei Yang']	65
2016	['Xianjie Yan', 'Dachun Yang', 'Wen Yuan', 'Ciqiang Zhuo']	65
2019	['Long Huang', 'Dachun Yang']	75
2019	['Jiawei Shen', 'Zhitian Chen', 'Shunchao Long']	26
2018	['Yurii Kolomoitsev', 'Tetiana Lomako']	22
2013	['Mai Fujita', 'Naohito Tomita']	9
2014	['Paolo Boggiatto', 'Carmen Fernández', 'Antonio Galbis']	24
